HOUSEID,NUMADLT,HHVEHCNT,HHFAMINC,URBAN,HOMETYPE,HOMEOWN,WTHHFIN,DRVRCNT,HHSIZE,VMT,VEH_PER_ADULT,INCOME_PER_VEHICLE
9000014708,3,2,7,4,1,1,9337.42525015294,2,3,20000.0,0.6666666666666666,3.5
9000014709,2,2,6,4,1,2,2298.10340618921,2,2,2200.0,1.0,3.0
9000014723,1,1,3,4,4,2,18271.2409502636,1,3,43200.0,1.0,3.0
9000014736,2,3,5,4,1,1,6983.99969749899,2,4,13500.0,1.5,1.6666666666666667
9000014737,1,1,3,4,1,1,11544.5336374517,1,1,200.0,1.0,3.0
9000014740,2,3,6,4,1,2,3500.12089959631,1,2,22520.0,1.5,2.0
9000014758,2,2,9,2,1,1,16738.2318434913,2,3,54000.0,1.0,4.5
9000014821,1,1,3,2,1,3,18950.2783619598,1,1,200000.0,1.0,3.0
9000014823,2,3,7,4,1,1,31744.2921757942,2,3,6000.0,1.5,2.3333333333333335
9000014824,2,2,9,4,1,2,19182.9940002426,2,2,43000.0,1.0,4.5
9000014828,1,1,2,4,1,2,4405.09392483829,1,1,6000.0,1.0,2.0
9000014830,2,3,7,2,1,2,6430.15181758839,2,2,18000.0,1.5,2.3333333333333335
9000014836,2,2,8,4,1,1,6018.21835904176,2,2,8000.0,1.0,4.0
9000014845,2,2,7,2,1,1,10827.9552002157,2,4,25000.0,1.0,3.5
9000014860,1,0,2,2,1,2,29726.5568790008,1,1,0.0,0.0,2.0
9000014863,2,3,7,4,1,1,37622.8890187935,2,3,24000.0,1.5,2.3333333333333335
9000014868,2,2,9,4,1,1,2498.85108561363,2,4,30000.0,1.0,4.5
9000014873,1,1,3,4,1,3,3065.867375937,1,1,12000.0,1.0,3.0
9000014879,2,1,4,2,1,2,3470.76452964497,2,2,7500.0,0.5,4.0
9000014883,1,1,3,4,1,2,11840.3172095869,1,1,6000.0,1.0,3.0
9000014892,4,0,4,2,1,4,13704.4981715308,2,4,0.0,0.0,4.0
9000014893,2,2,3,4,1,1,12200.7497588852,1,2,230.0,1.0,1.5
9000014901,2,2,5,4,1,2,2474.85105954311,2,2,19500.0,1.0,2.5
9000014903,2,2,5,2,1,1,18549.7258679144,2,3,8300.0,1.0,2.5
9000014913,2,3,7,4,1,1,4718.17078098027,2,3,10200.0,1.5,2.3333333333333335
9000014928,2,11,2,2,1,2,9744.27867683194,2,2,58500.0,5.5,0.18181818181818182
9000014961,2,3,6,4,1,1,7886.30210453923,2,2,21625.0,1.5,2.0
9000014962,1,1,6,4,1,1,7359.01746335207,1,1,7200.0,1.0,6.0
9000014965,1,5,5,2,1,2,4212.62528528097,2,3,16603.0,5.0,1.0
9000014970,2,1,5,4,1,2,11662.4153378226,2,2,17000.0,0.5,5.0
9000014990,1,1,6,1,1,1,11124.3885138073,1,2,15000.0,1.0,6.0
9000014994,1,1,4,1,3,3,11609.5716876181,1,1,6000.0,1.0,4.0
9000014995,1,2,5,1,1,2,32306.9290171936,1,1,13000.0,2.0,2.5
9000014996,2,1,4,1,2,2,10543.6061473058,1,2,10000.0,0.5,4.0
9000014998,1,1,8,1,1,2,5500.09740954364,1,1,6000.0,1.0,8.0
9000015004,1,0,8,1,1,1,17469.100638474,1,1,0.0,0.0,8.0
9000015013,2,5,8,4,1,1,3926.77273763158,2,4,78000.0,2.5,1.6
9000015016,2,2,7,1,3,3,5682.99420115995,2,2,22000.0,1.0,3.5
9000015025,2,2,6,1,2,3,14166.3525498632,2,2,17000.0,1.0,3.0
9000015038,1,0,5,1,3,3,7715.08136506833,0,1,0.0,0.0,5.0
9000015039,1,0,4,1,2,2,4718.58536726514,0,1,0.0,0.0,4.0
9000015063,2,2,11,1,1,1,7218.31711900364,2,2,66000.0,1.0,5.5
9000015070,1,1,3,1,1,2,13226.0100774718,1,1,3000.0,1.0,3.0
9000015084,2,2,5,1,2,2,6488.42311228117,2,2,13000.0,1.0,2.5
9000015086,2,2,7,1,1,1,31546.6831083209,2,4,19000.0,1.0,3.5
9000015091,2,4,8,4,1,1,35436.4622141241,3,3,4510.0,2.0,2.0
9000015100,1,1,7,4,3,3,39604.7853945862,1,1,18000.0,1.0,7.0
9000015108,1,1,8,1,3,3,6162.4833921076,1,1,10000.0,1.0,8.0
9000015124,2,2,9,1,1,1,7963.44468042076,2,4,24667.0,1.0,4.5
9000015137,2,2,6,1,3,3,49672.4696438731,2,3,22000.0,1.0,3.0
9000015142,2,2,7,4,1,1,3983.72731639538,2,2,4500.0,1.0,3.5
9000015145,1,1,6,1,2,1,7097.69507200287,1,1,10000.0,1.0,6.0
9000015146,1,1,7,1,2,1,3576.96108117515,1,1,9000.0,1.0,7.0
9000015150,2,3,11,1,1,1,5778.87298086335,2,2,13150.0,1.5,3.6666666666666665
9000015165,2,1,11,1,1,1,27652.1122325142,1,2,5000.0,0.5,11.0
9000015170,2,3,7,4,1,1,35605.7009309503,2,3,60000.0,1.5,2.3333333333333335
9000015172,2,2,10,1,1,2,8964.7024213007,2,2,50000.0,1.0,5.0
9000015173,2,2,6,1,1,1,8840.55269155613,2,2,15336.0,1.0,3.0
9000015184,2,2,9,1,1,1,12740.4109062758,2,3,10500.0,1.0,4.5
9000015187,2,3,4,2,4,2,13461.0908331985,2,5,55286.0,1.5,1.3333333333333333
9000015194,1,0,4,4,3,3,2350.98035041286,1,1,0.0,0.0,4.0
9000015199,1,1,4,4,1,2,2549.24132415541,1,1,9000.0,1.0,4.0
9000015203,2,3,7,4,1,1,7697.85128074269,2,2,27000.0,1.5,2.3333333333333335
9000015205,2,2,5,2,2,3,42002.3123140168,2,4,8600.0,1.0,2.5
9000015210,1,1,5,2,3,3,10817.4081244896,1,1,1500.0,1.0,5.0
9000015216,2,2,9,2,1,2,2756.09531526056,2,2,18000.0,1.0,4.5
9000015224,2,2,7,2,2,3,9357.02741056114,2,2,-18.0,1.0,3.5
9000015230,1,4,6,4,1,1,18056.2112376926,1,1,53100.0,4.0,1.5
9000015233,2,2,8,4,1,1,2454.71141388052,2,2,100000.0,1.0,4.0
9000015234,2,3,6,4,1,2,10164.802412696,2,2,9700.0,1.5,2.0
9000015238,2,2,1,4,1,2,6189.22070447882,2,2,11200.0,1.0,0.5
9000015239,2,4,5,4,1,1,11338.5601572677,2,3,20975.0,2.0,1.25
9000015244,2,2,5,2,1,2,3053.16368783694,2,2,7000.0,1.0,2.5
9000015246,4,5,-7,4,1,1,4331.20688505045,4,4,43091.0,1.25,-1.4
9000015262,2,3,6,4,1,2,7492.26624448585,1,2,3710.0,1.5,2.0
9000015276,1,1,4,4,4,2,3383.54832416309,1,1,5000.0,1.0,4.0
9000015282,2,2,6,4,1,2,3687.47102167741,2,2,450.0,1.0,3.0
9000015283,2,3,-7,4,1,1,8978.34149061028,4,5,39371.0,1.5,-2.3333333333333335
9000015289,3,1,5,2,1,1,26116.9735490673,3,3,10000.0,0.3333333333333333,5.0
9000015291,2,3,4,4,1,2,1281.3105405462,2,2,5000.0,1.5,1.3333333333333333
9000015293,2,4,7,4,1,2,5605.9079268328,2,2,14000.0,2.0,1.75
9000015299,1,1,1,4,1,3,30057.441811039,1,1,2000.0,1.0,1.0
9000015310,3,3,4,4,1,1,15505.6441473832,3,6,40500.0,1.0,1.3333333333333333
9000015343,1,3,7,4,4,1,9032.39207713294,1,1,13000.0,3.0,2.3333333333333335
9000015349,2,2,5,4,1,2,3076.85331959136,2,2,22000.0,1.0,2.5
9000015362,2,2,6,4,1,1,17226.1537991282,2,2,15000.0,1.0,3.0
9000015368,2,3,7,4,1,2,7769.76981310152,2,2,17000.0,1.5,2.3333333333333335
9000015384,1,1,3,2,1,2,35104.567023891,1,1,3000.0,1.0,3.0
9000015385,2,2,6,4,1,2,3119.3663504069,2,2,16150.0,1.0,3.0
9000015387,1,1,1,4,3,3,7273.44028501172,1,1,57890.0,1.0,1.0
9000015405,2,2,11,1,1,1,15097.0902827149,2,2,12000.0,1.0,5.5
9000015419,1,1,3,1,3,3,55502.0283328177,1,1,20954.0,1.0,3.0
9000015425,1,1,3,1,3,3,20847.9626830887,1,1,3000.0,1.0,3.0
9000015435,2,2,3,1,3,3,26128.3566407667,2,2,218000.0,1.0,1.5
9000015444,3,2,9,1,1,1,9362.40737276976,3,5,450.0,0.6666666666666666,4.5
9000015449,2,1,5,1,1,1,5487.86854073529,2,2,5000.0,0.5,5.0
9000015451,2,2,10,1,1,1,22348.839679199,2,2,40000.0,1.0,5.0
9000015454,2,2,6,1,1,1,25754.3370524679,2,2,9000.0,1.0,3.0
9000015463,2,2,9,1,1,1,6938.07356704823,2,2,3714.0,1.0,4.5
9000015479,4,3,6,1,2,2,51879.967507352,3,4,12943.0,0.75,2.0
9000015486,4,2,7,1,1,2,13797.4036429166,4,5,41000.0,0.5,3.5
9000015495,4,4,8,1,1,1,15473.1103893386,4,4,354901.0,1.0,2.0
9000015514,1,1,8,1,3,3,6141.40462563359,1,1,16000.0,1.0,8.0
9000015525,2,2,9,1,1,1,19589.118967107,2,2,26000.0,1.0,4.5
9000015535,2,2,4,4,4,1,22107.7986675421,2,4,200.0,1.0,2.0
9000015542,2,2,11,1,1,2,20587.7108293195,2,2,27000.0,1.0,5.5
9000015550,3,2,8,1,1,1,9322.83784266322,2,3,17000.0,0.6666666666666666,4.0
9000015562,1,1,6,1,1,2,8221.39871180555,1,1,15000.0,1.0,6.0
9000015566,2,2,11,1,1,2,48078.8136526157,2,3,31000.0,1.0,5.5
9000015571,2,2,8,4,1,1,10028.553592615,2,3,24000.0,1.0,4.0
9000015572,2,2,11,1,1,2,15986.1334030314,2,2,13000.0,1.0,5.5
9000015575,1,1,3,1,3,3,10376.7979190573,1,1,1000.0,1.0,3.0
9000015584,4,4,9,4,1,1,19156.1979741495,4,4,67000.0,1.0,2.25
9000015587,1,1,4,1,1,2,3458.78625335654,1,1,4000.0,1.0,4.0
9000015607,1,1,6,1,3,3,26918.5235359661,1,1,8000.0,1.0,6.0
9000015623,2,3,8,1,1,2,11184.7093228038,2,2,7500.0,1.5,2.6666666666666665
9000015626,2,2,11,4,1,1,6893.25658594497,2,4,30000.0,1.0,5.5
9000015627,2,1,3,4,4,2,32508.4543195672,1,2,3000.0,0.5,3.0
9000015638,2,2,7,1,1,2,5138.7811868162,2,2,6000.0,1.0,3.5
9000015657,2,2,8,1,2,3,4428.39398880163,2,2,12000.0,1.0,4.0
9000015676,2,2,11,1,1,2,4423.86689655457,2,2,31000.0,1.0,5.5
9000015677,2,1,5,4,3,3,29808.9524043025,2,2,48000.0,0.5,5.0
9000015678,2,2,11,1,1,1,9006.15396221143,2,2,20000.0,1.0,5.5
9000015687,2,2,7,1,1,1,26879.0545826244,2,4,1700.0,1.0,3.5
9000015699,2,2,6,1,1,2,4847.06019839988,2,2,2400.0,1.0,3.0
9000015701,2,1,7,1,1,2,5269.09785572547,1,2,15000.0,0.5,7.0
9000015706,1,1,10,1,2,1,12812.78104677,1,1,10000.0,1.0,10.0
9000015719,5,3,6,4,4,2,5419.70312354767,5,8,29500.0,0.6,2.0
9000015722,2,3,6,1,1,1,12687.0641461461,2,2,8400.0,1.5,2.0
9000015747,2,2,8,1,1,1,3933.38262106001,2,2,1500.0,1.0,4.0
9000015757,1,1,6,1,3,2,25021.9529075482,1,1,9273.0,1.0,6.0
9000015758,2,3,6,1,1,2,3484.89695551312,2,2,5400.0,1.5,2.0
9000015759,1,1,4,1,3,3,59834.0547313822,1,1,17280.0,1.0,4.0
9000015761,2,2,8,2,1,1,9978.16885145578,2,4,16000.0,1.0,4.0
